"c1_1"	"c1_2"	"c1_3"	"c1_4"	"c1_5"	"c1_6"	"c1_7"	"c1_8"	"c1_9"	"c1_10"	"c1_11"	"c1_12"	"c1_13"	"c1_14"	"c1_15"	"c1_16"	"c1_17"	"c1_18"	"c1_19"	"c1_20"	"c1_21"	"c1_22"	"c1_23"	"c1_24"	"c1_25"
"g1"	361.490565467294	335.58509868751	378.515444153811	305.32852126214	376.702714806274	509.5611745322	480.842172644201	479.571550223005	422.683400471873	324.288258037508	309.751316724536	499.672326180759	217.193670423557	292.161454105689	414.869300636236	423.307474425526	211.868690579688	313.400849628224	32.3282623011188	176.655666720266	256.887783812289	173.329546194501	329.459956476972	204.831491089829	340.922903029675
"g2"	477.940989234828	345.663298023843	472.735367660302	402.248200904461	304.032887511928	472.476572836853	498.827647628088	332.646386065063	225.707389156851	603.127103849487	61.336417011738	280.22216721518	8.07778410613537	7.25399614311755	80.4333949091795	130.618213682223	2.7987861004658	6.74987428123131	1.46926504094154	2.71463200449944	471.926394961227	167.486103044244	1.4237597421743	75.797501817443	273.441862386313
"g3"	1346.32123528709	1126.08273595884	1600.25470827076	1162.38605928447	890.647148295249	1109.62789725734	2219.50678971267	1186.81016463591	1318.62706131403	707.743155431934	261.193601566382	464.941797779512	6.99597349157557	530.932341738053	459.359231360522	326.288798182569	8.5815729550086	2.4481493467465	153.637003440859	146.847656145153	681.823977916549	1394.86913798352	1114.6672438444	1073.4066857928	1016.3219902825
"g4"	1062.55802221469	1299.62324302499	1265.09342394488	1156.90427381601	1511.79785976055	1690.52221920126	904.795145930067	720.739537310188	600.4939161086	859.788400549655	703.342587842649	202.061122695381	273.339097672886	569.923744392341	251.442493020689	234.557053076365	630.986312036381	336.71693980993	948.759866031577	261.935026343038	1501.65128748293	580.433499515161	1189.95013549008	1000.8214115656	1697.82699015013
"g5"	648.574336520885	537.686199006616	665.031791541571	403.541812504532	476.351321309831	446.447231887782	452.553586710684	204.924925195461	213.623504401876	106.964293066283	214.490703360414	231.668092750385	6.15305666811764	353.609246536989	106.429361180716	38.5387983068243	0.610197633504868	107.382581413753	440.987756421871	466.445772692884	313.462274592182	411.330778679784	461.453218577044	439.57143468193	576.310631411836
"g6"	749.871201507639	433.607483768276	718.392495641463	377.313642638408	189.741936448761	679.247789837513	208.288190516397	301.60978653922	0.905703944154084	374.552773774358	6.15377931855619	11.8562469637027	5.94606822356582	0.0247897184453905	11.7368399673582	8.1547985249199	188.474270955662	178.413256526601	412.951272080974	361.149033371295	667.02503489018	1221.13707267107	468.887836706245	479.192433163141	504.154282087203
"g7"	199.007515125136	173.363196342892	285.727250715948	117.178178271745	255.482598719419	255.107464232633	3.24893894139677	1.23749675229192	53.5692518707433	4.99473507050425	6.67753727640957	6.18232400622219	114.419913735384	2.94776940951124	275.192464530091	2.61281816902639	16.7609818543831	199.076520262099	66.6916518781767	226.56192240854	242.063744166883	263.817235085709	271.61820799907	168.806774272457	263.935159156534
"g8"	541.981728973511	812.420221322939	181.747697659967	421.647932851792	253.152328305816	212.856839570834	4.36877914238721	141.575597072998	0.750938493292779	7.7249760273844	0.0137202977202833	76.872348272899	2.94996586861089	340.591957330111	100.741449029022	132.557528282887	585.980161309652	363.029414084982	372.817987351021	579.240499703239	450.116696758749	552.292884148469	450.840309206329	787.570290029229	321.760858540352
"g9"	872.779214173058	411.51233992051	979.340162974126	891.071544303691	416.092659053789	559.46898508765	9.45977239636704	5.03069312311709	64.4241945471958	3.86599754216149	65.255130099625	637.163604369743	99.3657116221093	340.007259578741	444.207748344739	749.892479328436	766.0144970002	948.460507956629	912.217796821403	1195.24481551039	1828.38298052732	1554.10976346168	1612.71776991044	881.009492765992	1196.15396767151
"g10"	239.844513265861	123.646766671348	13.837627876199	4.67494440730661	1.37324704788625	7.85953202983364	7.0702927117236	67.5332176256011	73.3014757754433	97.3314410400602	378.70138739774	8.52448064368218	440.67415808706	313.524123520608	455.600495462658	579.564824551641	343.534400082073	333.786388165493	371.020840772944	1645.44178838551	378.959035148123	985.093182661386	662.355397725368	368.308712028124	281.561762073553
